reaction,biomass_type
transcription_TU0_13612_from_RpoD_mono,mRNA
transcription_TU0_14618_from_RpoD_mono,mRNA
transcription_TU00109_from_RpoD_mono,mRNA
transcription_TU0_12839_from_RPOS_MONOMER,mRNA
transcription_TU0_36419_from_RPOS_MONOMER,mRNA
transcription_TU0_36419_from_RpoD_mono,mRNA
transcription_TU0_1821_from_RpoD_mono,mRNA
transcription_TU0_13959_from_RpoD_mono,mRNA
transcription_TU0_6634_with_TERM101_from_RPOS_MONOMER,mRNA
transcription_TU0_6634_with_TERM101_from_RpoD_mono,mRNA
transcription_TU0_14519_from_RpoD_mono,mRNA
transcription_TU0_5561_from_RpoD_mono,mRNA
transcription_TU0_8487_from_RpoD_mono,mRNA
transcription_TU00311_from_RpoD_mono,mRNA
transcription_TU0_13801_from_RpoD_mono,mRNA
transcription_TU0_8777_from_RpoD_mono,mRNA
transcription_TU0_12963_from_RpoD_mono,mRNA
transcription_TU522_from_RpoD_mono,mRNA
transcription_TU0_13498_from_RpoD_mono,mRNA
transcription_TU0_7981_from_RPOS_MONOMER,mRNA
transcription_TU00196_from_RpoD_mono,mRNA
transcription_TU0_8862_from_RpoD_mono,mRNA
transcription_TU00110_from_RpoD_mono,mRNA
transcription_TU0_5562_from_RpoD_mono,mRNA
transcription_TU0_6635_with_TERM70_from_RpoD_mono,mRNA
transcription_TU00260_from_RPOH_MONOMER,mRNA
